KO ID	Name	Definition	Gene Count	
KO:K00954	E2.7.7.3A, coaD, kdtB	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	1	
KO:K00962	pnp, PNPT1	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	1	
KO:K00963	UGP2, galU, galF	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	1	
KO:K00969	nadD	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	1	
KO:K00970	pcnB	poly(A) polymerase [EC:2.7.7.19]	1	
KO:K00971	manC, cpsB	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	1	
KO:K00979	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	1	
KO:K00981	E2.7.7.41, CDS1, CDS2, cdsA	phosphatidate cytidylyltransferase [EC:2.7.7.41]	1	
KO:K00995	pgsA, PGS1	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	1	
KO:K00997	acpS	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	1	
KO:K01000	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	1	
KO:K01007	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	1	
KO:K01012	bioB	biotin synthase [EC:2.8.1.6]	1	
KO:K01028	E2.8.3.5A, scoA	3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]	1	
KO:K01029	E2.8.3.5B, scoB	3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]	1	
KO:K01042	selA	L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]	1	
KO:K01056	PTH1, pth, spoVC	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	1	
KO:K01057	PGLS, pgl, devB	6-phosphogluconolactonase [EC:3.1.1.31]	1	
KO:K01058	pldA	phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]	1	
KO:K01069	gloB, gloC, HAGH	hydroxyacylglutathione hydrolase [EC:3.1.2.6]	1	
KO:K01079	serB, PSPH	phosphoserine phosphatase [EC:3.1.3.3]	1	
KO:K01095	pgpA	phosphatidylglycerophosphatase A [EC:3.1.3.27]	1	
KO:K01119	cpdB	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]	1	
KO:K01139	spoT	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	1	
KO:K01142	E3.1.11.2, xthA	exodeoxyribonuclease III [EC:3.1.11.2]	1	
KO:K01153	hsdR	type I restriction enzyme, R subunit [EC:3.1.21.3]	2	
KO:K01154	hsdS	type I restriction enzyme, S subunit [EC:3.1.21.3]	1	
KO:K01155	E3.1.21.4	type II restriction enzyme [EC:3.1.21.4]	2	
KO:K01156	res	type III restriction enzyme [EC:3.1.21.5]	2	
KO:K01159	ruvC	crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]	1	
KO:K01163	K01163	uncharacterized protein	1	
KO:K01173	ENDOG	endonuclease G, mitochondrial	1	
KO:K01185	E3.2.1.17	lysozyme [EC:3.2.1.17]	1	
KO:K01255	CARP, pepA	leucyl aminopeptidase [EC:3.4.11.1]	1	
KO:K01262	pepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]	1	
KO:K01265	map	methionyl aminopeptidase [EC:3.4.11.18]	1	
KO:K01338	lon	ATP-dependent Lon protease [EC:3.4.21.53]	1	
KO:K01358	clpP, CLPP	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	1	
KO:K01409	KAE1, tsaD, QRI7	N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]	1	
KO:K01419	hslV, clpQ	ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]	1	
KO:K01424	E3.5.1.1, ansA, ansB	L-asparaginase [EC:3.5.1.1]	1	
KO:K01426	E3.5.1.4, amiE	amidase [EC:3.5.1.4]	1	
KO:K01428	ureC	urease subunit alpha [EC:3.5.1.5]	1	
KO:K01433	purU	formyltetrahydrofolate deformylase [EC:3.5.1.10]	1	
KO:K01439	dapE	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	1	
KO:K01448	amiABC	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	1	
KO:K01455	E3.5.1.49	formamidase [EC:3.5.1.49]	1	
KO:K01462	PDF, def	peptide deformylase [EC:3.5.1.88]	1	
KO:K01465	URA4, pyrC	dihydroorotase [EC:3.5.2.3]	2	
KO:K01476	E3.5.3.1, rocF, arg	arginase [EC:3.5.3.1]	1	
KO:K01491	folD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	1	
KO:K01494	dcd	dCTP deaminase [EC:3.5.4.13]	1	
KO:K01495	GCH1, folE	GTP cyclohydrolase IA [EC:3.5.4.16]	1	
KO:K01497	ribA, RIB1	GTP cyclohydrolase II [EC:3.5.4.25]	1	
KO:K01507	ppa	inorganic pyrophosphatase [EC:3.6.1.1]	1	
KO:K01520	dut, DUT	dUTP pyrophosphatase [EC:3.6.1.23]	1	
KO:K01521	cdh	CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26]	1	
KO:K01524	ppx-gppA	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	1	
KO:K01534	zntA	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	1	
KO:K01579	panD	aspartate 1-decarboxylase [EC:4.1.1.11]	1	
KO:K01585	speA	arginine decarboxylase [EC:4.1.1.19]	1	
KO:K01586	lysA	diaminopimelate decarboxylase [EC:4.1.1.20]	1	
KO:K01591	pyrF	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	1	
KO:K01599	hemE, UROD	uroporphyrinogen decarboxylase [EC:4.1.1.37]	1	
KO:K01609	trpC	indole-3-glycerol phosphate synthase [EC:4.1.1.48]	1	
KO:K01613	psd, PISD	phosphatidylserine decarboxylase [EC:4.1.1.65]	1	
KO:K01624	FBA, fbaA	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	1	
KO:K01625	eda	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	1	
KO:K01626	E2.5.1.54, aroF, aroG, aroH	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	1	
KO:K01627	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	1	
KO:K01628	fucA	L-fuculose-phosphate aldolase [EC:4.1.2.17]	1	
KO:K01633	folB	7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	1	
KO:K01647	CS, gltA	citrate synthase [EC:2.3.3.1]	1	
KO:K01657	trpE	anthranilate synthase component I [EC:4.1.3.27]	1	
KO:K01658	trpG	anthranilate synthase component II [EC:4.1.3.27]	1	
KO:K01662	dxs	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	1	
KO:K01673	cynT, can	carbonic anhydrase [EC:4.2.1.1]	1	
KO:K01674	cah	carbonic anhydrase [EC:4.2.1.1]	1	
KO:K01679	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	1	
KO:K01682	acnB	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	1	
KO:K01689	ENO, eno	enolase [EC:4.2.1.11]	1	
KO:K01690	edd	phosphogluconate dehydratase [EC:4.2.1.12]	1	
KO:K01695	trpA	tryptophan synthase alpha chain [EC:4.2.1.20]	1	
KO:K01696	trpB	tryptophan synthase beta chain [EC:4.2.1.20]	1	
KO:K01698	hemB, ALAD	porphobilinogen synthase [EC:4.2.1.24]	1	
KO:K01711	gmd, GMDS	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	1	
KO:K01714	dapA	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	1	
KO:K01719	hemD, UROS	uroporphyrinogen-III synthase [EC:4.2.1.75]	1	
KO:K01733	thrC	threonine synthase [EC:4.2.3.1]	1	
KO:K01735	aroB	3-dehydroquinate synthase [EC:4.2.3.4]	1	
KO:K01736	aroC	chorismate synthase [EC:4.2.3.5]	1	
KO:K01737	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	1	
KO:K01738	cysK	cysteine synthase [EC:2.5.1.47]	1	
KO:K01744	aspA	aspartate ammonia-lyase [EC:4.3.1.1]	1	
KO:K01749	hemC, HMBS	hydroxymethylbilane synthase [EC:2.5.1.61]	1	
KO:K01752	E4.3.1.17, sdaA, sdaB, tdcG	L-serine dehydratase [EC:4.3.1.17]	1	
KO:K01756	purB, ADSL	adenylosuccinate lyase [EC:4.3.2.2]	1	
KO:K01760	metC	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	1	
KO:K01772	hemH, FECH	protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	1	
KO:K01775	alr	alanine racemase [EC:5.1.1.1]	1	
KO:K01776	murI	glutamate racemase [EC:5.1.1.3]	1	
KO:K01778	dapF	diaminopimelate epimerase [EC:5.1.1.7]	1	
KO:K01783	rpe, RPE	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	1	
KO:K01784	galE, GALE	UDP-glucose 4-epimerase [EC:5.1.3.2]	1	
KO:K01803	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	1	
KO:K01808	rpiB	ribose 5-phosphate isomerase B [EC:5.3.1.6]	1	
KO:K01810	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	1	
KO:K01821	praC, xylH	4-oxalocrotonate tautomerase [EC:5.3.2.6]	1	
KO:K01839	deoB	phosphopentomutase [EC:5.4.2.7]	1	
KO:K01845	hemL	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	1	
KO:K01866	YARS, tyrS	tyrosyl-tRNA synthetase [EC:6.1.1.1]	1	
KO:K01867	WARS, trpS	tryptophanyl-tRNA synthetase [EC:6.1.1.2]	1	
KO:K01868	TARS, thrS	threonyl-tRNA synthetase [EC:6.1.1.3]	1	
KO:K01869	LARS, leuS	leucyl-tRNA synthetase [EC:6.1.1.4]	1	
KO:K01870	IARS, ileS	isoleucyl-tRNA synthetase [EC:6.1.1.5]	1	
KO:K01872	AARS, alaS	alanyl-tRNA synthetase [EC:6.1.1.7]	1	
KO:K01873	VARS, valS	valyl-tRNA synthetase [EC:6.1.1.9]	1	
KO:K01874	MARS, metG	methionyl-tRNA synthetase [EC:6.1.1.10]	1	
KO:K01875	SARS, serS	seryl-tRNA synthetase [EC:6.1.1.11]	1	
KO:K01876	DARS2, aspS	aspartyl-tRNA synthetase [EC:6.1.1.12]	1	
KO:K01878	glyQ	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	1	
KO:K01879	glyS	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	1	
KO:K01881	PARS, proS	prolyl-tRNA synthetase [EC:6.1.1.15]	1	
KO:K01883	CARS, cysS	cysteinyl-tRNA synthetase [EC:6.1.1.16]	1	
KO:K01885	EARS, gltX	glutamyl-tRNA synthetase [EC:6.1.1.17]	1	
KO:K01887	RARS, argS	arginyl-tRNA synthetase [EC:6.1.1.19]	1	
KO:K01889	FARSA, pheS	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	1	
KO:K01890	FARSB, pheT	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	1	
KO:K01892	HARS, hisS	histidyl-tRNA synthetase [EC:6.1.1.21]	1	
KO:K01895	ACSS1_2, acs	acetyl-CoA synthetase [EC:6.2.1.1]	1	
KO:K01915	glnA, GLUL	glutamine synthetase [EC:6.3.1.2]	1	
KO:K01916	nadE	NAD+ synthase [EC:6.3.1.5]	1	
KO:K01918	panC	pantoate--beta-alanine ligase [EC:6.3.2.1]	1	
KO:K01921	ddl	D-alanine-D-alanine ligase [EC:6.3.2.4]	1	
KO:K01924	murC	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	1	
KO:K01925	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	1	
KO:K01928	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	1	
KO:K01929	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	1	
KO:K01934	MTHFS	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	1	
KO:K01935	bioD	dethiobiotin synthetase [EC:6.3.3.3]	1	
KO:K01937	pyrG, CTPS	CTP synthase [EC:6.3.4.2]	1	
KO:K01939	purA, ADSS	adenylosuccinate synthase [EC:6.3.4.4]	1	
KO:K01945	purD	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	1	
KO:K01951	guaA, GMPS	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	1	
KO:K01955	carB, CPA2	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	1	
KO:K01956	carA, CPA1	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	1	
KO:K01961	accC	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	1	
KO:K01962	accA	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	1	
KO:K01963	accD	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	1	
KO:K01972	E6.5.1.2, ligA, ligB	DNA ligase (NAD+) [EC:6.5.1.2]	1	
KO:K01990	ABC-2.A	ABC-2 type transport system ATP-binding protein	1	
KO:K01992	ABC-2.P	ABC-2 type transport system permease protein	3	
KO:K01993	ABC-2.TX	HlyD family secretion protein	1	
KO:K02003	ABC.CD.A	putative ABC transport system ATP-binding protein	1	
KO:K02004	ABC.CD.P	putative ABC transport system permease protein	1	
KO:K02013	ABC.FEV.A	iron complex transport system ATP-binding protein [EC:7.2.2.-]	1	
KO:K02014	TC.FEV.OM	iron complex outermembrane recepter protein	3	
KO:K02015	ABC.FEV.P	iron complex transport system permease protein	1	
KO:K02016	ABC.FEV.S	iron complex transport system substrate-binding protein	1	
KO:K02017	modC	molybdate transport system ATP-binding protein [EC:7.3.2.5]	1	
KO:K02018	modB	molybdate transport system permease protein	1	
KO:K02020	modA	molybdate transport system substrate-binding protein	1	
KO:K02028	ABC.PA.A	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	1	
KO:K02029	ABC.PA.P	polar amino acid transport system permease protein	2	
KO:K02030	ABC.PA.S	polar amino acid transport system substrate-binding protein	1	
KO:K02065	mlaF, linL, mkl	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	1	
KO:K02066	mlaE, linK	phospholipid/cholesterol/gamma-HCH transport system permease protein	1	
KO:K02067	mlaD, linM	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	1	
KO:K02071	metN	D-methionine transport system ATP-binding protein	1	
